,start_time,end_time,hv_SiPM,hv_PMT,hv_veto_SiPM,hv_veto_PMT,custom_scenario_PMT,custom_scenario_SiPM,thresholds_SiPM.channel_0,thresholds_SiPM.channel_1,thresholds_SiPM.channel_2,thresholds_SiPM.channel_3,thresholds_PMT.channel_0,thresholds_PMT.channel_1,thresholds_PMT.channel_2,thresholds_PMT.channel_3
41,2022-05-06 10:26:19,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
42,2022-05-06 16:27:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
43,2022-05-06 17:57:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
44,2022-05-06 19:27:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400FE8039001E803,3904,1000,400,1000,3000,4100,1800,4200
45,2022-05-10 00:32:51,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
46,2022-05-10 00:58:30,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
47,2022-05-10 02:28:30,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
48,2022-05-10 03:58:30,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
49,2022-05-10 05:28:30,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
50,2022-05-10 06:58:30,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
51,2022-05-10 08:28:30,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
52,2022-05-10 22:35:33,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
53,2022-05-11 00:05:33,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
54,2022-05-11 01:35:33,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
55,,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
56,,,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
57,2022-05-12 22:21:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
58,2022-05-12 23:51:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
59,2022-05-13 01:21:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
60,2022-05-13 02:51:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
61,2022-05-13 04:21:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
62,2022-05-13 05:51:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
63,2022-05-13 07:21:39,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
64,,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
65,2022-05-18 11:59:34,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
66,2022-05-18 13:29:34,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
67,2022-05-18 14:59:34,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
68,2022-05-18 20:06:00,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
69,,,3855,3855,3849,3849,0F0F0F09B80B041008076810,0F0F0F09400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
70,2022-05-20 17:42:55,2022-05-20 18:18:41,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
71,2022-05-20 18:56:56,2022-05-20 19:48:41,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
72,2022-05-20 20:26:53,2022-05-20 21:18:41,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
73,2022-05-20 21:56:53,2022-05-20 22:48:41,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
74,2022-05-20 23:26:59,2022-05-21 00:18:41,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
75,2022-05-21 00:57:02,2022-05-21 01:48:41,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
76,2022-05-21 02:26:56,2022-05-21 03:18:41,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
77,2022-05-21 03:56:56,2022-05-21 04:48:41,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
78,2022-05-21 09:59:10,2022-05-21 10:50:58,0,3855,9,3849,0F0F0F09B80B041008076810,00000009400F001690010016,3904,5632,400,5632,3000,4100,1800,4200
