   7.500, 252.000,  15.000,  24.000, 0.113581, 8.9942E-01, 7.4423E-01, 6.3252E-01, 4.7603E-01, 3.7518E-01, 3.0614E-01, 2.5651E-01, 2.1924E-01, 1.5250E-01, 9.9955E-02, 7.2105E-02, 4.2919E-02, 2.8088E-02, 1.9615E-02, 1.4392E-02, 1.1079E-02, 6.1340E-03, 3.2784E-03, 2.1621E-03, 1.2165E-03, 7.9000E-04, 5.3554E-04, 3.6524E-04, 2.4198E-04, 6.3589E-05, 5.9231E-06, 2.9677E-07, 1.7074E-10, 0.0000E+00, 3.8826E+00, 2.5152E+00, 1.9979E+00, 1.2421E+00, 8.2351E-01, 5.8046E-01, 4.2480E-01, 3.2736E-01, 1.5056E-01, 7.3786E-02, 4.2074E-02, 2.0351E-02, 1.0773E-02, 6.6544E-03, 4.0790E-03, 2.6813E-03, 9.8975E-04, 3.1987E-04, 1.5438E-04, 5.7045E-05, 3.1879E-05, 2.0307E-05, 1.4288E-05, 1.0636E-05, 3.1621E-06, 3.1968E-07, 2.7303E-08, 1.0472E-11, 0.0000E+00
   7.500, 276.000,  15.000,  24.000, 0.113581, 1.1244E+00, 9.1556E-01, 7.6779E-01, 5.6473E-01, 4.3683E-01, 3.5080E-01, 2.8989E-01, 2.4487E-01, 1.6610E-01, 1.0600E-01, 7.5156E-02, 4.3837E-02, 2.8315E-02, 1.9579E-02, 1.4235E-02, 1.0860E-02, 5.8641E-03, 3.0259E-03, 1.9422E-03, 1.0505E-03, 6.6051E-04, 4.3404E-04, 2.8668E-04, 1.8274E-04, 4.0186E-05, 2.1600E-06, 8.5998E-08, 0.0000E+00, 0.0000E+00, 5.2742E+00, 3.3522E+00, 2.6232E+00, 1.5924E+00, 1.0326E+00, 7.1844E-01, 5.1697E-01, 3.9228E-01, 1.7464E-01, 8.3051E-02, 4.5789E-02, 2.1495E-02, 1.1161E-02, 6.8249E-03, 4.1624E-03, 2.7251E-03, 9.9273E-04, 3.1424E-04, 1.4782E-04, 5.2795E-05, 2.8767E-05, 1.7805E-05, 1.2191E-05, 8.8586E-06, 2.3895E-06, 1.6135E-07, 4.8181E-09, 0.0000E+00, 0.0000E+00
   7.500, 300.000,  15.000,  24.000, 0.113581, 1.3104E+00, 1.0545E+00, 8.7576E-01, 6.3370E-01, 4.8400E-01, 3.8475E-01, 3.1523E-01, 2.6440E-01, 1.7663E-01, 1.1088E-01, 7.7768E-02, 4.4818E-02, 2.8749E-02, 1.9792E-02, 1.4336E-02, 1.0897E-02, 5.8277E-03, 2.9726E-03, 1.8958E-03, 1.0195E-03, 6.3879E-04, 4.1841E-04, 2.7540E-04, 1.7480E-04, 3.7123E-05, 1.3199E-06, 1.1723E-08, 0.0000E+00, 0.0000E+00, 6.5061E+00, 4.0790E+00, 3.1559E+00, 1.8803E+00, 1.1974E+00, 8.2462E-01, 5.8646E-01, 4.4077E-01, 1.9266E-01, 9.0032E-02, 4.8622E-02, 2.2380E-02, 1.1478E-02, 6.9748E-03, 4.2446E-03, 2.7739E-03, 1.0035E-03, 3.1412E-04, 1.4587E-04, 5.1624E-05, 2.8021E-05, 1.7307E-05, 1.1810E-05, 8.5658E-06, 2.3039E-06, 1.4449E-07, 9.6246E-10, 0.0000E+00, 0.0000E+00
   7.500, 324.000,  15.000,  24.000, 0.113581, 1.4066E+00, 1.1267E+00, 9.3181E-01, 6.6937E-01, 5.0849E-01, 4.0262E-01, 3.2885E-01, 2.7516E-01, 1.8291E-01, 1.1424E-01, 7.9867E-02, 4.5873E-02, 2.9375E-02, 2.0202E-02, 1.4620E-02, 1.1104E-02, 5.9245E-03, 3.0147E-03, 1.9210E-03, 1.0338E-03, 6.4902E-04, 4.2608E-04, 2.8121E-04, 1.7916E-04, 3.8679E-05, 1.4308E-06, 1.3545E-08, 0.0000E+00, 0.0000E+00, 7.1335E+00, 4.4516E+00, 3.4353E+00, 2.0301E+00, 1.2805E+00, 8.7724E-01, 6.2068E-01, 4.6475E-01, 2.0176E-01, 9.3732E-02, 5.0307E-02, 2.3014E-02, 1.1764E-02, 7.1370E-03, 4.3418E-03, 2.8362E-03, 1.0241E-03, 3.1962E-04, 1.4784E-04, 5.2190E-05, 2.8323E-05, 1.7525E-05, 1.1969E-05, 8.6987E-06, 2.3660E-06, 1.5451E-07, 1.0970E-09, 0.0000E+00, 0.0000E+00
   7.500, 348.000,  15.000,  24.000, 0.113581, 1.4157E+00, 1.1344E+00, 9.3854E-01, 6.7478E-01, 5.1307E-01, 4.0664E-01, 3.3245E-01, 2.7842E-01, 1.8548E-01, 1.1616E-01, 8.1365E-02, 4.6833E-02, 3.0022E-02, 2.0657E-02, 1.4952E-02, 1.1356E-02, 6.0551E-03, 3.0730E-03, 1.9509E-03, 1.0426E-03, 6.5074E-04, 4.2512E-04, 2.7935E-04, 1.7712E-04, 3.7626E-05, 1.5124E-06, 2.3995E-08, 0.0000E+00, 0.0000E+00, 7.1699E+00, 4.4745E+00, 3.4522E+00, 2.0405E+00, 1.2873E+00, 8.8195E-01, 6.2430E-01, 4.6783E-01, 2.0347E-01, 9.4735E-02, 5.1019E-02, 2.3422E-02, 1.2003E-02, 7.2924E-03, 4.4390E-03, 2.9009E-03, 1.0489E-03, 3.2781E-04, 1.5173E-04, 5.3281E-05, 2.8751E-05, 1.7677E-05, 1.2011E-05, 8.6968E-06, 2.3277E-06, 1.4522E-07, 1.7280E-09, 0.0000E+00, 0.0000E+00
  22.500,  12.000,  15.000,  24.000, 0.333001, 3.9760E+00, 3.1904E+00, 2.6440E+00, 1.9076E+00, 1.4548E+00, 1.1558E+00, 9.4678E-01, 7.9422E-01, 5.3150E-01, 3.3528E-01, 2.3686E-01, 1.3957E-01, 9.2205E-02, 6.5703E-02, 4.9438E-02, 3.9077E-02, 2.3471E-02, 1.4247E-02, 1.0481E-02, 6.9551E-03, 5.1107E-03, 3.8586E-03, 2.9172E-03, 2.1632E-03, 8.3326E-04, 1.6837E-04, 3.3677E-05, 2.1706E-06, 0.0000E+00, 2.0021E+01, 1.2495E+01, 9.6256E+00, 5.7038E+00, 3.6114E+00, 2.4812E+00, 1.7618E+00, 1.3217E+00, 5.7548E-01, 2.6845E-01, 1.4396E-01, 6.5888E-02, 3.3874E-02, 2.0694E-02, 1.2721E-02, 8.4094E-03, 3.1481E-03, 1.0534E-03, 5.3548E-04, 2.3180E-04, 1.4744E-04, 1.0667E-04, 8.3292E-05, 6.8372E-05, 2.8401E-05, 5.5825E-06, 1.1387E-06, 4.8926E-08, 0.0000E+00
  22.500,  36.000,  15.000,  24.000, 0.333001, 4.9124E+00, 3.9143E+00, 3.2257E+00, 2.3079E+00, 1.7521E+00, 1.3899E+00, 1.1388E+00, 9.5635E-01, 6.4240E-01, 4.0731E-01, 2.8817E-01, 1.6838E-01, 1.0927E-01, 7.5962E-02, 5.5528E-02, 4.2584E-02, 2.3337E-02, 1.2312E-02, 8.0580E-03, 4.4993E-03, 2.9053E-03, 1.9566E-03, 1.3253E-03, 8.7173E-04, 2.2048E-04, 1.8765E-05, 1.3307E-06, 1.3722E-08, 0.0000E+00, 2.5550E+01, 1.5804E+01, 1.2084E+01, 7.0564E+00, 4.3957E+00, 2.9911E+00, 2.1085E+00, 1.5790E+00, 6.8802E-01, 3.2237E-01, 1.7584E-01, 8.1844E-02, 4.2508E-02, 2.6053E-02, 1.5945E-02, 1.0466E-02, 3.8390E-03, 1.2277E-03, 5.8354E-04, 2.1354E-04, 1.1893E-04, 7.5671E-05, 5.2656E-05, 3.9087E-05, 1.1441E-05, 1.0495E-06, 7.5065E-08, 5.1603E-10, 0.0000E+00
  22.500,  60.000,  15.000,  24.000, 0.333001, 3.1588E+00, 2.5859E+00, 2.1783E+00, 1.6149E+00, 1.2575E+00, 1.0159E+00, 8.4422E-01, 7.1676E-01, 4.9228E-01, 3.1968E-01, 2.3049E-01, 1.3928E-01, 9.3649E-02, 6.7711E-02, 5.1678E-02, 4.1407E-02, 2.5772E-02, 1.6367E-02, 1.2410E-02, 8.5600E-03, 6.4834E-03, 5.0485E-03, 3.9512E-03, 3.0513E-03, 1.3584E-03, 3.6878E-04, 1.0376E-04, 8.1478E-06, 6.1768E-07, 1.4424E+01, 9.2247E+00, 7.2520E+00, 4.4353E+00, 2.8945E+00, 2.0212E+00, 1.4604E+00, 1.1133E+00, 4.9998E-01, 2.3943E-01, 1.3280E-01, 6.2888E-02, 3.2993E-02, 2.0361E-02, 1.2566E-02, 8.3663E-03, 3.1810E-03, 1.0866E-03, 5.7449E-04, 2.5818E-04, 1.6789E-04, 1.2307E-04, 9.8087E-05, 8.2724E-05, 3.8355E-05, 9.5581E-06, 2.7420E-06, 2.4353E-07, 1.3846E-08
  22.500,  84.000,  15.000,  24.000, 0.333001, 9.9606E-01, 8.6517E-01, 7.6764E-01, 6.2543E-01, 5.2817E-01, 4.5816E-01, 4.0472E-01, 3.6144E-01, 2.7624E-01, 2.0095E-01, 1.5675E-01, 1.0609E-01, 7.8400E-02, 6.1709E-02, 5.0989E-02, 4.3882E-02, 3.2508E-02, 2.4992E-02, 2.1323E-02, 1.6871E-02, 1.3875E-02, 1.1516E-02, 9.5444E-03, 7.8050E-03, 4.0654E-03, 1.3589E-03, 4.5819E-04, 5.6019E-05, 8.1540E-06, 3.1969E+00, 2.1731E+00, 1.7620E+00, 1.1637E+00, 8.1809E-01, 6.0141E-01, 4.7590E-01, 3.9449E-01, 2.0512E-01, 1.1168E-01, 7.0268E-02, 3.6848E-02, 2.0818E-02, 1.3386E-02, 8.5583E-03, 5.8890E-03, 2.4082E-03, 9.2787E-04, 5.8277E-04, 3.4448E-04, 2.6236E-04, 2.1295E-04, 1.8298E-04, 1.6564E-04, 9.4474E-05, 3.0045E-05, 1.0341E-05, 1.2509E-06, 1.3656E-07
  22.500, 108.000,  15.000,  24.000, 0.333001, 3.0217E-01, 2.7835E-01, 2.5997E-01, 2.3208E-01, 2.1209E-01, 1.9727E-01, 1.8508E-01, 1.7386E-01, 1.4782E-01, 1.2028E-01, 1.0149E-01, 7.7105E-02, 6.2566E-02, 5.3282E-02, 4.7069E-02, 4.2761E-02, 3.5394E-02, 2.9982E-02, 2.6951E-02, 2.2629E-02, 1.9306E-02, 1.6499E-02, 1.4039E-02, 1.1775E-02, 6.5568E-03, 2.3913E-03, 8.7046E-04, 1.2524E-04, 2.2108E-05, 5.6801E-01, 4.0521E-01, 3.3520E-01, 2.3535E-01, 1.7084E-01, 1.2901E-01, 1.1546E-01, 1.0927E-01, 6.9609E-02, 4.4178E-02, 3.2191E-02, 1.8698E-02, 1.1342E-02, 7.6111E-03, 5.0643E-03, 3.6624E-03, 1.6367E-03, 7.1477E-04, 5.1772E-04, 3.6560E-04, 3.0395E-04, 2.6018E-04, 2.3322E-04, 2.1996E-04, 1.3889E-04, 4.8984E-05, 1.8262E-05, 2.5167E-06, 3.3319E-07
