timestamp,temperature,rate0,rate1,rate2,rate3,ratev,hv_level,veto_level,id_bit,pps_active,suspended,power_on,scenario,longitude,latitude
1665419400.013214,24,33,33,32,34,39,2827,2304,0,1,0,0,14,-113.517,41.978
1665419450.7469792,25,32,29,32,31,36,2827,2304,0,1,0,0,14,-109.98477998593694,43.72086697229154
1665419501.4807446,26,36,32,38,34,41,2827,2304,0,1,0,0,14,-106.16254987206142,45.36584757194584
1665419552.2145097,26,32,26,31,31,33,2827,2304,0,1,0,0,14,-102.11041367114403,46.858573792229144
1665419577.5813923,26,40,33,39,36,46,2827,2304,0,1,0,0,14,-99.99933869607858,47.54378451829914
1665419602.9482749,27,39,30,40,38,44,2827,2304,0,1,0,0,14,-97.83102004447694,48.184284278799915
1665419628.3151577,27,51,35,51,45,51,2827,2304,0,1,0,0,14,-95.60778543814102,48.77912230598644
1665419653.6820402,27,36,29,36,34,38,2827,2304,0,1,0,0,14,-93.33117085111684,49.325501892321824
1665419679.0489228,27,31,28,31,31,36,2827,2304,0,1,0,0,14,-91.00419986003986,49.82204350478447
1665419704.4158053,27,37,28,37,38,41,2827,2304,0,1,0,0,14,-88.62939026307691,50.26640877959998
1665419729.782688,28,30,27,33,30,36,2827,2304,0,1,0,0,14,-86.21133739097621,50.656775967871525
1665419755.1495705,28,31,26,32,30,33,2827,2304,0,1,0,0,14,-83.75345260989869,50.99146964139509
1665419780.5164533,28,38,27,41,38,40,2827,2304,0,1,0,0,14,-81.26272584954351,51.27010010186904
1665419805.8833358,28,53,25,44,49,48,2827,2304,0,1,0,0,14,-78.74343942142525,51.48957608914363
1665419831.2502184,28,33,23,31,30,33,2827,2304,0,1,0,0,14,-76.20210097633671,51.64999147141731
1665419932.7177489,29,46,17,37,39,35,2827,2304,0,1,0,0,14,-65.95534224365458,51.68978468848981
1665419958.0846314,29,34,18,28,30,29,2827,2304,0,1,0,0,14,-63.408656492434496,51.54883354898624
1665420008.8183966,29,38,15,30,32,29,2827,2304,0,1,0,0,14,-58.380788031268416,51.08910786695749
1665420034.1852791,30,48,16,34,40,34,2827,2304,0,1,0,0,14,-55.91200186272347,50.77246507270686
1665420084.9190445,30,44,12,27,37,31,2827,2304,0,1,0,0,14,-51.09145965281222,49.97345958599073
1665420135.6528096,30,43,11,28,35,27,2827,2304,0,1,0,0,14,-46.45569727921375,48.964246645554184
1665420161.0196922,30,45,9,24,34,27,2827,2304,0,1,0,0,14,-44.2148487755805,48.385238204477666
1665420186.3865747,30,49,9,24,32,26,2827,2304,0,1,0,0,14,-42.02926849289923,47.759209360780034
1665420211.7534575,31,45,8,21,35,25,2827,2304,0,1,0,0,14,-39.89986109205577,47.08887243901079
1665420237.12034,31,47,9,22,34,26,2827,2304,0,1,0,0,14,-37.82667522256441,46.376165176057036
1665420262.4872227,31,47,7,21,37,26,2827,2304,0,1,0,0,14,-35.81126778137721,45.622557418754056
1665420287.8541052,31,47,9,19,35,25,2827,2304,0,1,0,0,14,-33.85342971819769,44.830662364240034
1665420313.2209878,31,47,7,18,34,23,2827,2304,0,1,0,0,14,-31.952890776868195,44.00258594625031
1665420338.5878704,31,52,6,17,31,23,2827,2304,0,1,0,0,14,-30.107623794976764,43.13983383519912
1665420363.9547532,31,50,6,16,36,24,2827,2304,0,1,0,0,14,-28.317293207478674,42.24474939810152
1665420389.3216357,31,47,7,17,33,25,2827,2304,0,1,0,0,14,-26.58104561650795,41.3191112800959
1665420440.0554008,32,45,5,16,32,22,2827,2304,0,1,0,0,14,-23.26272433189382,39.38345151441477
