seq_nr,entry_nr,script_nr,data,timestamp
2340,1,11,b'\x00\x00\x00\x00<l\x00\x00\x00\x00\x00\x05\xb8\xcbv0',2022-04-29T02:22:51.68146
2341,2,11,b'\x00\x00\x00\x00=d\x00\x00\x00\x00\x00\x04\xb8\xcbv0',2022-04-29T02:22:51.68146
2342,3,11,b'\x00\x00\x00\x00>\x95\x01\x00\x00\x10\x00\x0e\xc4\xc9v1',2022-04-29T02:22:51.68146
2343,4,11,b'\x00\x00\x00\x00=r\x00\x00\x00\x00\x00\x05\xb8\xcbv0',2022-04-29T02:22:51.68146
2344,5,11,b'\x00\x00\x00\x00>\xf2\x00\x00\x00 \x00\x08\xc4\xc9v1',2022-04-29T02:22:51.68146
2345,6,11,b'\x00\x00\x00\x00>j\x00\x00\x00\x00\x00\x05\xb8\xcbv0',2022-04-29T02:22:51.68146
2346,7,11,b'\x00\x00\x00\x00?\x83\x11\x00\x00 \x00\x0c\xc4\xc9v1',2022-04-29T02:22:51.68146
