seq_nr,entry_nr,script_nr,data,timestamp
927,46,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
928,47,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
929,48,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
930,49,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
931,50,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
932,51,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
933,52,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
934,53,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
935,54,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
936,55,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
937,56,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
938,57,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
939,58,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
940,59,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
941,60,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
942,61,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
943,62,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
944,63,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
945,64,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
946,65,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
947,66,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
948,67,8,b'\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\xc4\xc9v1',2022-04-22T08:34:40.56333
949,68,8,b'\x00\x00\x00\x00D\x00\x00\x00\x00\x00\x00\x00\xb8\xcbv0',2022-04-22T08:34:40.56333
