#### , TYP-yyMMdd-HH:mm:ss-numer_N_all , yyyy-MMM-dd HH:mm:ss.SSSSSS , Lat , Lon , B_PhN , PhN90 , Pcore , B_dur , T_90 , Tcore , C_PhN , C_dur , DOY , xDPU , tcp , Pos , Corr , Typ ,

151, TGF-221016-20:54:29-29808 , 2022-10-16 20:54:29.207338 ,11.7903,-74.7005,74,66,66,288,85,85, --- , --- ,289,680055,0, App ,82717, B , 
152, TGF-221018-06:54:27-32802 , 2022-10-18 06:54:27.962431 ,19.6295,120.0433,38,34,34,82,38,37, --- , --- ,291,864988,0, App ,-86443, B , 
153, TGF-221018-14:44:47-33481 , 2022-10-18 14:44:47.273942 ,1.6555,15.5205,50,44,44,132,77,76, --- , --- ,291,799691,0, App ,35749, B , 
154, TGF-221020-09:22:13-43106 , 2022-10-20 09:22:13.258231 ,9.1732,-85.7777,52,46,46,163,73,68,15,85,293,878613,0, App ,-1618, B , 
155, TGF-221025-23:57:25-63748 , 2022-10-25 23:57:24.956709 ,-3.3584,12.1853,32,28,28,160,83,83,35,217,298,782435,0, App ,53726, C , 
156, TGF-221026-17:46:34-03321 , 2022-10-26 17:46:34.964786 ,-0.1284,-76.7668,244,220,219,415,119,117, --- , --- ,299,951611,0, App ,-19176, B , 
157, TGF-221027-11:29:46-06012 , 2022-10-27 11:29:46.608415 ,-14.8215,-179.069,112,100,100,277,221,208,28,317,300,771151,0, App ,-93265, B , 
158, TGF-221030-04:34:46-16455 , 2022-10-30 04:34:46.668094 ,-1.5251,-80.5981,15, --- , --- ,58, --- , --- ,9,72,303,766684,0, App ,-73411, M , 
159, TGF-221031-23:58:20-23357 , 2022-10-31 23:58:20.372752 ,8.5661,-14.214,58,52,52,134,85,76,40,133,304,27287,0, App ,197534, B , 
160, TGF-221103-03:02:23-33475 , 2022-11-03 03:02:23.320931 ,7.3106,-73.8728,67,61,60,171,101,96,51,134,307,695767,0, App ,417836, C , 
161, TGF-221105-03:41:06-42430 , 2022-11-05 03:41:06.152667 ,11.7248,69.2205,229,207,206,100,64,54, --- , --- ,309,591552,0, App ,32884, B , 
162, TGF-221111-07:30:42-02227 , 2022-11-11 07:30:42.967944 ,-4.8214,160.8336,19, --- , --- ,48, --- , --- , --- , --- ,315,158766,0, App ,17822, B , 
163, TGF-221113-16:47:18-12149 , 2022-11-13 16:47:17.966958 ,-0.7628,10.7182,74,66,66,111,62,62, --- , --- ,317,970962,0, App ,49004, B , 
164, TGF-221113-16:48:10-12153 , 2022-11-13 16:48:10.399520 ,1.912,12.6018,37,33,33,308,266,223, --- , --- ,317,403350,0, App ,48829, B , 
165, TGF-221116-19:54:40-23891 , 2022-11-16 19:54:40.685041 ,-13.4585,136.7369,28,26,25,199,153,127, --- , --- ,320,195880,0, App ,37838, B , 
166, TGF-221116-23:46:40-24645 , 2022-11-16 23:46:40.930591 ,12.9167,-102.6789,55,49,49,92,61,52, --- , --- ,320,344127,1, App ,-8465, B , 
167, TGF-221121-17:25:14-45088 , 2022-11-21 17:25:14.215750 ,1.9451,132.6269,24,22,21,70,55,35,12,161,325,406488,0, App ,37738, B , 
168, TGF-221121-21:22:07-45854 , 2022-11-21 21:22:07.060555 ,12.3832,-96.0901,25,23,22,436,343,268, --- , --- ,325,200191,0, App ,83635, B , 
169, TGF-221123-18:10:35-53696 , 2022-11-23 18:10:35.590535 ,1.1844,-68.3183,37,33,33,448,348,335, --- , --- ,327,726817,0, App ,-1718, B , 
170, TGF-221124-16:32:42-57135 , 2022-11-24 16:32:42.113848 ,10.5704,121.2406,72,64,64,54,39,36,43,154,328,644739,0, App ,-74109, B , 
171, TGF-221126-18:58:50-64829 , 2022-11-26 18:58:50.980710 ,17.146,-85.2868,61,55,54,137,73,67, --- , --- ,330,899035,0, App ,-70676, B , 
172, TGF-221128-13:22:27-05783 , 2022-11-28 13:22:27.770659 ,10.1521,146.1636,32,28,28,82,41,41,24,162,332,74395,0, App ,-19264, C , 
173, TGF-221128-21:51:48-07613 , 2022-11-28 21:51:48.856326 ,-13.9257,-166.4279,56,50,50,92,53,51, --- , --- ,332,804602,0, App ,-39724, B , 
174, TGF-221129-11:10:17-09705 , 2022-11-29 11:10:17.408520 ,-15.1411,-165.7965,41,37,36,43,39,37,18,99,333,780777,0, App ,-744, B , 
175, TGF-221129-11:11:30-09708 , 2022-11-29 11:11:30.547436 ,-18.757,-162.901,43,39,38,91,53,41,16,61,333,919392,0, App ,-1045, B , 
176, TGF-221130-10:21:31-16130 , 2022-11-30 10:21:31.685673 ,-11.8928,-162.1012,43,39,38,59,44,39,21,144,334,957417,0, App ,-1256, B , 
177, TGF-221130-13:16:31-16179 , 2022-11-30 13:16:31.710340 ,20.3485,126.9176,26,24,23,153,126,73,27,207,334,840474,0, App ,-42867, C , 
178, TGF-221201-12:40:07-21025 , 2022-12-01 12:40:07.178322 ,-11.8689,156.7281,19, --- , --- ,377, --- , --- ,17,319,335,134935,0, App ,-48387, C , 
179, TGF-221205-16:30:19-36795 , 2022-12-05 16:30:18.969136 ,13.9465,-103.7728,55,49,49,198,107,107, --- , --- ,339,824651,0, App ,50515, B , 
180, TGF-221205-16:30:37-36796 , 2022-12-05 16:30:37.219695 ,14.8572,-103.07,28,26,25,125,107,94, --- , --- ,339,76140,0, App ,50444, B , 
181, TGF-221206-03:20:33-38773 , 2022-12-06 03:20:33.763797 ,14.7051,91.6326,48,44,43,396,313,290, --- , --- ,340,90082,0, App ,-96715, B , 
182, TGF-221206-04:49:35-39032 , 2022-12-06 04:49:35.183230 ,3.0913,59.5266,35,31,31,113,92,77, --- , --- ,340,443372,0, App ,-62859, B , 
183, TGF-221209-18:48:41-55790 , 2022-12-09 18:48:41.288367 ,-20.4963,23.1466,42,38,37,103,63,57, --- , --- ,343,462606,0, App ,101238, B , 
184, TGF-221211-02:28:52-61539 , 2022-12-11 02:28:52.359580 ,10.6301,71.6503,103,93,92,80,58,52, --- , --- ,345,22119,0, App ,6539, B , 
185, TGF-221211-09:26:18-62362 , 2022-12-11 09:26:18.910719 ,-9.6719,144.7853,170,152,152,341,224,206, --- , --- ,345,140600,0, App ,-92119, B , 
186, TGF-221212-10:07:15-65471_ALL , 2022-12-12 10:07:15.653434 ,4.4754,117.2013,214, --- , --- ,3280, --- , --- , --- , --- ,346,391040,0, App ,-83395, B , 
186, TGF-221212-10:07:15-65471_a , 2022-12-12 10:07:15.653434 ,4.4754,117.2013,10, --- , --- ,171, --- , --- , --- , --- ,346,391040,0, App ,-83395, B , 
186, TGF-221212-10:07:15-65471_b , 2022-12-12 10:07:15.656554 ,4.4752,117.2015,197,177,177,160,64,63, --- , --- ,346,394160,0, App ,-83395, B , 
187, TGF-221212-10:13:48-65486 , 2022-12-12 10:13:48.339960 ,-15.4268,131.612,48,44,43,371,285,250, --- , --- ,346,60982,0, App ,-84978, B , 
188, TGF-221218-14:46:58-19073 , 2022-12-18 14:46:58.926650 ,-15.8402,26.9116,30,26,26,304,153,153, --- , --- ,352,471545,0, App ,72895, B , 
189, TGF-221220-06:59:30-21855 , 2022-12-20 06:59:30.169274 ,-11.9885,130.5454,34,30,30,369,295,238, --- , --- ,354,717740,0, App ,-7535, B , 
190, TGF-221220-14:00:45-24422 , 2022-12-20 14:00:45.842089 ,22.1888,-147.4004,93,83,83,117,46,36,74,139,354,60221,0, App ,-86869, B , 
191, TGF-221221-00:41:01-29461 , 2022-12-21 00:41:01.072551 ,-6.7589,25.8212,13, --- , --- ,229, --- , --- ,17,308,355,767342,0, App ,72790, C , 
192, TGF-221221-12:25:55-31313 , 2022-12-21 12:25:55.988381 ,-19.683,48.3844,72,64,64,320,171,171, --- , --- ,355,112977,0, App ,-97405, B , 
193, TGF-221223-18:30:39-39442 , 2022-12-23 18:30:39.245449 ,-2.4192,-70.6156,54,48,48,122,98,92, --- , --- ,357,542748,0, App ,-92702, B , 
194, TGF-221223-19:17:27-39510 , 2022-12-23 19:17:27.771901 ,3.4029,98.266,61,55,54,144,114,95,27,184,357,50657,0, App ,-94245, B , 
195, TGF-221225-22:18:05-47008 , 2022-12-25 22:18:05.700952 ,-8.7172,30.8758,35,31,31,147,86,85,4,80,359,163150,0, App ,7197, B , 
196, TGF-221226-20:03:26-50134 , 2022-12-26 20:03:26.884961 ,7.2584,71.8383,64,58,57,1545,743,727,26,1001,360,203645,0, App ,-20317, B , 
197, TGF-221227-10:47:32-52297 , 2022-12-27 10:47:32.106810 ,-13.0878,31.9598,67,61,60,1175,944,852, --- , --- ,361,730420,0, App ,-32390, B , 
198, TGF-230101-21:29:08-06634 , 2023-01-01 21:29:08.208560 ,-1.7506,7.3088,107,97,96,892,500,485,63,845,1,752943,0, App ,88383, B , 
199, TGF-230103-12:09:59-13102 , 2023-01-03 12:09:59.819472 ,-2.9539,136.5727,142,128,127,278,184,167,67,419,3,377202,0, App ,-48270, B , 
200, TGF-230103-18:17:00-14074 , 2023-01-03 18:17:00.854236 ,-16.183,32.4304,143,129,128,123,57,55, --- , --- ,3,263181,0, App ,85944, B , 
201, TGF-230104-07:32:06-16643 , 2023-01-04 07:32:06.490223 ,-1.7669,24.9687,25,23,22,143,87,57, --- , --- ,4,598300,0, App ,-81924, B , 
202, TGF-230104-17:30:14-18242 , 2023-01-04 17:30:13.960699 ,-14.7035,39.6644,43,39,38,255,176,161, --- , --- ,4,844982,0, App ,94282, B , 
