#### , TYP-yyMMdd-HH:mm:ss-numer_N_all , yyyy-MMM-dd HH:mm:ss.SSSSSS , Lat , Lon , B_PhN , PhN90 , Pcore , B_dur , T_90 , Tcore , C_PhN , C_dur , DOY , xDPU , tcp , Pos , Corr , Typ ,

37, TGF-220523-07:45:20-03613 , 2022-05-23 07:45:20.741813 ,13.3433,-88.2725,20,18,17,194,102,95,9,166,143,429137,0, App ,-68677, C , 
38, TGF-220523-13:15:08-04320 , 2022-05-23 13:15:08.953801 ,1.0024,19.4634,203,183,182,203,81,64, --- , --- ,143,585575,0, App ,-40226, B , 
39, TGF-220524-19:28:04-09101 , 2022-05-24 19:28:03.944872 ,-7.5722,103.976,124,112,111,119,83,75,21,182,144,148628,0, App ,64755, B , 
40, TGF-220530-04:38:45-29225 , 2022-05-30 04:38:45.961051 ,-1.8475,106.8781,21,19,18,69,54,41, --- , --- ,150,232473,0, App ,15421, B , 
41, TGF-220602-10:52:22-41068 , 2022-06-02 10:52:22.368635 ,-11.9741,-174.815,10, --- , --- ,83, --- , --- ,10,122,153,987275,0, App ,-20361, C , 
42, TGF-220602-13:51:59-41497 , 2022-06-02 13:51:59.332942 ,6.5986,124.7101,43,39,38,223,123,100,10,137,153,871425,0, App ,-84518, B , 
43, TGF-220603-14:32:00-45163 , 2022-06-03 14:32:00.877342 ,23.3107,94.0055,21,19,18,187,87,78, --- , --- ,154,634123,0, App ,-83220, B , 
44, TGF-220605-23:05:18-53757 , 2022-06-05 23:05:17.982406 ,-10.7645,142.9047,71,63,63,59,41,35, --- , --- ,156,667486,0, App ,80079, B , 
45, TGF-220609-13:02:12-00661 , 2022-06-09 13:02:12.140514 ,-1.1107,101.8885,19, --- , --- ,49, --- , --- , --- , --- ,160,162018,0, App ,81503, B , 
46, TGF-220610-23:51:37-05571 , 2022-06-10 23:51:37.587703 ,2.2246,111.7947,39,35,35,213,161,144, --- , --- ,161,947,0, App ,-74757, B , 
47, TGF-220613-22:07:25-15545 , 2022-06-13 22:07:25.236512 ,23.5405,-81.3429,25,23,22,98,97,75, --- , --- ,164,330058,0, App ,3546, B , 
48, TGF-220614-08:59:59-17212 , 2022-06-14 08:59:59.417871 ,15.7063,120.0866,26,24,23,152,103,90, --- , --- ,165,972426,0, App ,-1445, B , 
