Version,Trigger_Name,Name,Time(MJD),Trigger_Time(MJD),Trigger_Type,Trigger_Timescale(ms),Detector_Mask,Long(Degrees),Lat(Degrees)
1 ,bn221220340 ,LOCLPAR2212203 ,  59933.3386167 ,  59933.3401505 ,LOCLPAR ,  16 ,00000000000011 , 31.2000 ,-25.3667
1 ,bn221219680 ,LOCLPAR2212196 ,  59932.6783982 ,  59932.6799153 ,LOCLPAR ,2048 ,00001000001000 ,270.3333 ,-25.1667
0 ,bn221218756 ,SGR221218756 ,  59931.7539224 ,  59931.7555283 ,SGR ,  16 ,11011100000000 ,244.8167 ,-24.7000
1 ,bn221218046 ,SGR221218046 ,  59931.0447737 ,  59931.0463049 ,SGR ,  64 ,00001100000000 ,237.6167 , -6.5000
1 ,bn221217824 ,SFLARE22121782 ,  59930.8221994 ,  59930.8237772 ,SFLARE ,  64 ,01000100000000 ,181.3167 ,-12.6667
1 ,bn221217243 ,SFLARE22121724 ,  59930.2417368 ,  59930.2432631 ,SFLARE ,  64 ,11000000000000 ,110.2333 ,-24.9500
1 ,bn221216915 ,SFLARE22121691 ,  59929.9136608 ,  59929.9152208 ,SFLARE ,  64 ,01000100000000 ,241.3333 ,-23.6167
1 ,bn221216901 ,SFLARE22121690 ,  59929.8992288 ,  59929.9007677 ,SFLARE ,  64 ,00010100000000 ,163.1500 ,-13.6000
1 ,bn221216847 ,SGR221216847 ,  59929.8459048 ,  59929.8474289 ,SGR ,  16 ,11010000000000 ,255.4500 ,-24.9833
1 ,bn221216827 ,SGR221216827 ,  59929.8256119 ,  59929.8271362 ,SGR ,  16 ,00100100000000 ,151.8667 ,  3.7833
1 ,bn221216796 ,SFLARE22121679 ,  59929.7942332 ,  59929.7957503 ,SFLARE ,  64 ,00001100000000 ,351.0000 , -0.1667
1 ,bn221216473 ,GRB221216473 ,  59929.4715745 ,  59929.4731271 ,GRB ,1024 ,10000100000000 ,145.9667 , 15.6833
1 ,bn221216430 ,SFLARE22121643 ,  59929.4280437 ,  59929.4296133 ,SFLARE ,  64 ,00101000000000 ,289.3833 ,  7.8167
1 ,bn221216068 ,SFLARE22121606 ,  59929.0668814 ,  59929.0684025 ,SFLARE ,  64 ,00001100000000 ,249.8500 , -4.3000
0 ,bn221215673 ,GRB221215673 ,  59928.6717525 ,  59928.6733110 ,GRB , 512 ,00000011010000 , 38.5167 , -2.7167
1 ,bn221215177 ,GRB221215177 ,  59928.1751897 ,  59928.1767127 ,GRB ,1024 ,00000000010100 , 32.1500 ,  6.9333
1 ,bn221215066 ,SFLARE22121506 ,  59928.0641595 ,  59928.0657377 ,SFLARE ,  64 ,01010000000000 ,186.5333 ,-25.3167
1 ,bn221214989 ,SFLARE22121498 ,  59927.9873123 ,  59927.9888757 ,SFLARE ,  64 ,01000100000000 ,151.7500 ,-15.6500
1 ,bn221214798 ,SFLARE22121479 ,  59927.7964039 ,  59927.7979950 ,SFLARE ,  64 ,11000000000000 ,261.5833 ,-24.8667
0 ,bn221214610 ,SFLARE22121461 ,  59927.6087369 ,  59927.6103129 ,SFLARE ,  64 ,00010100000000 , 30.4667 ,-18.6333
1 ,bn221214540 ,SFLARE22121454 ,  59927.5387121 ,  59927.5402503 ,SFLARE ,  64 ,00100100000000 , 32.9833 ,-23.9500
1 ,bn221214520 ,SFLARE22121452 ,  59927.5179801 ,  59927.5195294 ,SFLARE ,  64 ,11100100000000 ,285.9833 ,  1.2333
2 ,bn221214088 ,UNCERT22121408 ,  59927.0866553 ,  59927.0881797 ,UNCERT ,  16 ,00110000000010 ,251.5167 , -7.3833
1 ,bn221213290 ,SGR221213290 ,  59926.2881829 ,  59926.2897059 ,SGR ,  64 ,11000000000000 ,148.7333 ,-20.7333
0 ,bn221212368 ,TGF221212368 ,  59925.3667326 ,  59925.3683001 ,TGF ,  16 ,11000100000010 ,139.0167 ,-17.4000
0 ,bn221212278 ,GRB221212278 ,  59925.2769174 ,  59925.2784641 ,GRB ,1024 ,00000000010100 , 38.5333 , -2.7167
0 ,bn221211274 ,GRB221211274 ,  59924.2726268 ,  59924.2742328 ,GRB , 128 ,00000000011000 ,329.4167 , 24.6333
1 ,bn221210909 ,LOCLPAR2212109 ,  59923.9075977 ,  59923.9091622 ,LOCLPAR ,4096 ,00001100000000 ,269.8500 ,-25.6000
2 ,bn221210108 ,GRB221210108 ,  59923.1065015 ,  59923.1080838 ,GRB , 256 ,11010100000000 ,149.4833 ,-16.6167
0 ,bn221209877 ,GRB221209877 ,  59922.8758494 ,  59922.8774050 ,GRB , 512 ,00000001100000 , 55.2000 , 16.9167
1 ,bn221209527 ,SFLARE22120952 ,  59922.5255143 ,  59922.5271165 ,SFLARE ,  64 ,00100100000000 , 77.2167 ,-23.9333
0 ,bn221209243 ,GRB221209243 ,  59922.2418261 ,  59922.2433432 ,GRB ,2048 ,01100000000000 , 70.9667 , -0.8833
1 ,bn221207939 ,LOCLPAR2212079 ,  59920.9372065 ,  59920.9387236 ,LOCLPAR ,4096 ,00100001000000 ,269.9000 ,-25.4000
1 ,bn221207794 ,SFLARE22120779 ,  59920.7922988 ,  59920.7938280 ,SFLARE ,  64 ,11000000000000 ,252.4167 , -4.8500
1 ,bn221207040 ,UNCERT22120704 ,  59920.0388855 ,  59920.0404859 ,UNCERT ,  16 ,00000000001101 , 16.2167 , 16.1000
0 ,bn221206774 ,TGF221206774 ,  59919.7720094 ,  59919.7736031 ,TGF ,  16 ,00001000010010 , 98.6667 ,  9.8667
0 ,bn221206586 ,GRB221206586 ,  59919.5848676 ,  59919.5863913 ,GRB ,  64 ,10011000000000 ,227.1333 , 25.4000
0 ,bn221206544 ,UNRELOC2212065 ,  59919.5426541 ,  59919.5441948 ,UNCERT ,4096 ,01000000000100 , 10.6167 ,-13.0333
1 ,bn221206516 ,GRB221206516 ,  59919.5142348 ,  59919.5158259 ,GRB , 256 ,10100000000000 ,226.0000 , 21.2000
0 ,bn221206464 ,GRB221206464 ,  59919.4623939 ,  59919.4635080 ,GRB ,2048 ,11000000000000 ,325.6000 , 19.0500
0 ,bn221205038 ,LOCLPAR2212050 ,  59918.0368786 ,  59918.0384668 ,LOCLPAR ,2048 ,00000000010100 ,269.8000 ,-25.6333
0 ,bn221205022 ,GRB221205022 ,  59918.0205991 ,  59918.0221873 ,GRB ,2048 ,00010001100000 ,186.2333 , -2.2333
0 ,bn221204968 ,LOCLPAR2212049 ,  59917.9662353 ,  59917.9677523 ,LOCLPAR ,4096 ,01010001000000 ,267.3333 ,-23.6667
1 ,bn221204313 ,SGR221204313 ,  59917.3116441 ,  59917.3132178 ,SGR ,  16 ,01000100000000 ,178.7333 ,-25.5500
0 ,bn221203886 ,GRB221203886 ,  59916.8847842 ,  59916.8863724 ,GRB ,2048 ,11100000001000 ,167.5333 , 24.5500
0 ,bn221203575 ,TGF221203575 ,  59916.5732993 ,  59916.5748700 ,TGF ,  16 ,00000000000011 , 17.9833 ,-11.1167
0 ,bn221203537 ,GRB221203537 ,  59916.5352051 ,  59916.5367992 ,GRB , 256 ,00011000000000 ,186.6333 , -0.5833
0 ,bn221202904 ,GRB221202904 ,  59915.9025578 ,  59915.9040749 ,GRB ,4096 ,01000000011000 ,209.0000 , 14.1333
2 ,bn221202773 ,TGF221202773 ,  59915.7716555 ,  59915.7731941 ,TGF ,  16 ,01000110000011 ,262.5667 , 11.9667
1 ,bn221202388 ,SFLARE22120238 ,  59915.3859720 ,  59915.3875495 ,SFLARE ,  64 ,01000100000000 , 94.9000 ,-11.2167
1 ,bn221201517 ,GRB221201517 ,  59914.5156593 ,  59914.5171911 ,GRB , 512 ,00100100000000 ,350.5333 , 17.2000
0 ,bn221130867 ,LOCLPAR2211308 ,  59913.8650311 ,  59913.8665482 ,LOCLPAR ,4096 ,01000000010000 ,275.3500 , -2.5833
1 ,bn221130196 ,TGF221130196 ,  59913.1943629 ,  59913.1959124 ,TGF ,  16 ,00000010010001 ,105.6167 , 20.4833
