Version,Trigger_Name,Name,Time(MJD),Trigger_Time(MJD),Trigger_Type,Trigger_Timescale(ms),Detector_Mask,Long(Degrees),Lat(Degrees)
0 ,bn220626238 ,TGF220626238 ,  59756.2367187 ,  59756.2382369 ,TGF ,16 ,00000000000011 ,259.5000 , 12.4333
0 ,bn220622088 ,TGF220622088 ,  59752.0862915 ,  59752.0878121 ,TGF ,16 ,10100100000010 , 20.0167 , -3.2500
0 ,bn220621356 ,TGF220621356 ,  59751.3548587 ,  59751.3564608 ,TGF ,16 ,01000000001011 ,261.8167 ,  9.4833
0 ,bn220621326 ,TGF220621326 ,  59751.3243105 ,  59751.3258502 ,TGF ,16 ,00000000110001 ,105.0667 , -4.0000
0 ,bn220620614 ,TGF220620614 ,  59750.6124597 ,  59750.6139783 ,TGF ,16 ,00000011000001 , 79.9833 , 23.4500
0 ,bn220617181 ,TGF220617181 ,  59747.1798191 ,  59747.1813381 ,TGF ,16 ,00000001100001 ,255.3000 , 22.0000
0 ,bn220606609 ,TGF220606609 ,  59736.6072077 ,  59736.6087720 ,TGF ,16 ,00000000000011 ,110.0000 , -7.7167
1 ,bn220606558 ,TGF220606558 ,  59736.5566645 ,  59736.5582606 ,TGF ,16 ,00000000100100 ,209.3333 , 23.2000
0 ,bn220604466 ,TGF220604466 ,  59734.4642342 ,  59734.4658218 ,TGF ,16 ,00000000100101 ,  7.0333 ,  3.6667
0 ,bn220531806 ,TGF220531806 ,  59730.8042216 ,  59730.8058265 ,TGF ,16 ,00001000101000 ,105.0167 ,  1.8667
0 ,bn220530248 ,TGF220530248 ,  59729.2465934 ,  59729.2481258 ,TGF ,16 ,00000000000011 ,103.1833 , 13.7167
0 ,bn220519495 ,TGF220519495 ,  59718.4935093 ,  59718.4950738 ,TGF ,16 ,00110000000010 ,115.7833 ,  6.3333
0 ,bn220513626 ,TGF220513626 ,  59712.6246410 ,  59712.6261584 ,TGF ,16 ,00011000000010 ,136.4833 , -4.1667
0 ,bn220512789 ,TGF220512789 ,  59711.7874622 ,  59711.7890472 ,TGF ,16 ,00000000000011 ,201.3500 ,-21.3000
0 ,bn220507092 ,TGF220507092 ,  59706.0901662 ,  59706.0917142 ,TGF ,16 ,00001100000010 , 14.5833 , -1.7333
0 ,bn220506826 ,TGF220506826 ,  59705.8244287 ,  59705.8260108 ,TGF ,16 ,00010100000010 ,103.8167 ,  2.3333
0 ,bn220504172 ,TGF220504172 ,  59703.1716789 ,  59703.1717769 ,TGF ,16 ,00001100000000 ,281.2667 , 25.5333
0 ,bn220429867 ,TGF220429867 ,  59698.8650442 ,  59698.8666148 ,TGF ,16 ,00000010000111 ,338.3500 ,  4.8333
0 ,bn220420260 ,TGF220420260 ,  59689.2583106 ,  59689.2598322 ,TGF ,16 ,00000000001100 , 70.1000 ,  5.4000
0 ,bn220419156 ,TGF220419156 ,  59688.1549336 ,  59688.1564934 ,TGF ,16 ,00000001001001 ,216.3167 ,-25.5000
0 ,bn220418286 ,TGF220418286 ,  59687.2841730 ,  59687.2857754 ,TGF ,16 ,00000101000011 ,105.2500 , -8.2000
0 ,bn220417226 ,TGF220417226 ,  59686.2245159 ,  59686.2260379 ,TGF ,16 ,00000000100111 ,116.2333 ,  0.5667
0 ,bn220412606 ,TGF220412606 ,  59681.6041818 ,  59681.6057891 ,TGF ,16 ,00100000001100 , 13.6667 ,  1.5167
0 ,bn220410697 ,TGF220410697 ,  59679.6949839 ,  59679.6965508 ,TGF ,16 ,00000000000011 , 19.3167 , -9.3000
