status,time,description,ID_in_Graph
1,1657864800.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000800201C')"
1,1657864800.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A00341C')"
1,1657864800.0,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000700391C')"
1,1657864800.011169,read the current time ,1657864800.011169,
1,1657864800.011169,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0007010100')"
1,1657864801.011169,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657864801.011169,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 000A010100')"
1,1657864802.011169,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657864802.011169,33,-1,"('cmnd found in list ', 'SE0>csp txrx 4 14 600 0008010100')"
1,1657864982.011169,"('delay of ', 180.0)",SE0>script delay 180000,
1,1657864982.011169,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657864982.011169,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657864982.011169,34,3,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 0F')"
1,1657864982.011169,35,3,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 0F')"
1,1657864992.011169,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657864992.021881,read the current time ,1657864992.021881,
1,1657864992.021881,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657865002.021881,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657865005.021881,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657865015.021881,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657865015.021881,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657865025.021881,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657865025.021881,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657865065.021881,"('delay of ', 40.0)",SE0>script delay 40000,
1,1657865064.967133,read the current time ,1657865064.967133,
1,1657865064.967133,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657865074.967133,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657865074.967133,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657865084.967133,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657865084.967133,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657865094.967133,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657865094.967133,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657865154.967133,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657865154.972076,read the current time ,1657865154.972076,
1,1657865154.972076,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657865155.972076,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657865155.972076,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657865156.972076,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657865156.972076,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
1,1657865157.972076,"('delay of ', 1.0)",SE0>script delay 1000,
1,1657865157.972076,13,1,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 01')"
1,1657865217.972076,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657865217.976837,read the current time ,1657865217.976837,
1,1657865217.976837,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657865227.976837,"('delay of ', 10.0)",SE0>script delay 10000,
-1,1657865230.976837,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657865240.976837,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657865240.976837,1,0,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 00')"
1,1657865250.976837,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657865250.976837,12,0,"('cmnd found in list ', 'SE0>csp txrx 13 8 3000 00')"
1,1657865310.976837,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657865310.986694,read the current time ,1657865310.986694,
1,1657865314.486694,"('delay of ', 3.5)",SE0>script delay 3500,
1,1657865314.486542,read the current time ,1657865314.486542,
1,1657865314.486542,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657865324.486542,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657865324.486542,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657865364.486542,"('delay of ', 40.0)",SE0>script delay 40000,
-1,1657865367.486542,23,14,"('cmnd found in list ', 'SE0>csp txrx 12 9 3000 000000094004400460014004')"
1,1657865377.486542,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657865377.486542,24,14,"('cmnd found in list ', 'SE0>csp txrx 13 9 3000 0F0F00096006600660066006')"
1,1657865377.490936,read the current time ,1657865377.490936,
