scalar,RGB_r,RGB_g,RGB_b,RGB_a
0.890196078,231,231,60,1
0.894117647,233,231,69,1
0.898039216,234,232,78,1
0.901960784,236,233,87,1
0.905882353,237,234,94,1
0.909803922,238,235,102,1
0.91372549,240,236,109,1
0.917647059,241,236,117,1
0.921568627,242,237,124,1
0.925490196,243,238,131,1
0.929411765,245,239,137,1
0.933333333,246,240,144,1
0.937254902,247,241,151,1
0.941176471,248,241,158,1
0.945098039,249,242,164,1
0.949019608,249,243,171,1
0.952941176,250,244,177,1
0.956862745,251,245,184,1
0.960784314,252,246,190,1
0.964705882,252,247,197,1
0.968627451,253,248,203,1
0.97254902,253,249,210,1
0.976470588,254,249,216,1
0.980392157,254,250,223,1
0.984313725,254,251,229,1
0.988235294,255,252,236,1
0.992156863,255,253,242,1
0.996078431,255,254,249,1
1,255,255,255,1
